Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-08T10:16:58Z,Created,Entity,1d3f11b4-7f6d-49a9-a955-3006727b9bef,NA,0,"(17.7%, 79.6%)"
2019-01-08T10:17:27Z,Named,Entity,1d3f11b4-7f6d-49a9-a955-3006727b9bef,Buch,3,NA
2019-01-08T10:17:33Z,Created,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,NA,0,"(53.1%, 74.1%)"
2019-01-08T10:17:36Z,Moved,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,"-1%, +5.6%",2,"(52.1%, 79.6%)"
2019-01-08T10:18:05Z,Named,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,Nutzer,3,NA
2019-01-08T10:18:12Z,Created,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,NA,0,"(41.7%, 74.1%)"
2019-01-08T10:18:29Z,Moved,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,"-39.1%, +7.4%",1,"(13%, 87%)"
2019-01-08T10:18:33Z,Moved,Entity,1d3f11b4-7f6d-49a9-a955-3006727b9bef,"+32.3%, +5.6%",2,"(50%, 85.2%)"
2019-01-08T10:18:38Z,Moved,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,"+0%, -3.7%",4,"(13%, 83.3%)"
2019-01-08T10:18:55Z,Moved,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,"+63.5%, -3.7%",5,"(76.6%, 79.6%)"
2019-01-08T10:18:57Z,Moved,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,"+16.1%, -15.7%",0,"(57.8%, 58.3%)"
2019-01-08T10:19:01Z,Moved,Entity,1d3f11b4-7f6d-49a9-a955-3006727b9bef,"-13%, -5.6%",3,"(37%, 79.6%)"
2019-01-08T10:19:05Z,Moved,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,"-2.1%, +21.3%",2,"(55.7%, 79.6%)"
2019-01-08T10:19:47Z,Named,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,ausgeliehen von,5,NA
2019-01-08T10:20:05Z,Created,Attribute,2387f752-9f2d-4ce7-8d8c-dc8133330399,NA,0,"(51.6%, 74.1%)"
2019-01-08T10:20:19Z,Moved,Attribute,2387f752-9f2d-4ce7-8d8c-dc8133330399,"+0%, -0.9%",0,"(51.6%, 73.1%)"
2019-01-08T10:20:22Z,Moved,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,"+0.5%, -1.9%",1,"(56.2%, 77.8%)"
2019-01-08T10:20:55Z,Deleted,Attribute,2387f752-9f2d-4ce7-8d8c-dc8133330399,NA,0,NA
2019-01-08T10:21:03Z,Moved,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,"+0%, +1.9%",2,"(56.2%, 79.6%)"
2019-01-08T10:21:19Z,Connected,Link,54c58905-0bf8-4872-9050-5f4a0b088e2d,a111479f-54d1-40c1-8ce0-d6c275d1e3ba -> 1d3f11b4-7f6d-49a9-a955-3006727b9bef,5,NA
2019-01-08T10:21:37Z,Connected,Link,75e89831-93fc-4d55-9f5b-a2f18b133d87,a111479f-54d1-40c1-8ce0-d6c275d1e3ba -> bda46af4-1a58-4de4-9eac-f9ed1decb9b5,5,NA
2019-01-08T10:22:07Z,Defined Cardinality,Link,54c58905-0bf8-4872-9050-5f4a0b088e2d,"1,1",5,NA
2019-01-08T10:22:16Z,Defined Cardinality,Link,75e89831-93fc-4d55-9f5b-a2f18b133d87,"1,",6,NA
2019-01-08T10:22:45Z,Changed Cardinality,Link,75e89831-93fc-4d55-9f5b-a2f18b133d87,"1, -> 1,*",0,NA
2019-01-08T10:22:57Z,Changed Cardinality,Link,75e89831-93fc-4d55-9f5b-a2f18b133d87,"1,* -> *,1",6,NA
2019-01-08T10:23:43Z,Created,Attribute,350126fb-2cb2-4e4c-8a3e-6cd3221dec56,NA,0,"(41.7%, 73.1%)"
2019-01-08T10:24:20Z,Renamed,Entity,1d3f11b4-7f6d-49a9-a955-3006727b9bef,Buch -> Leihmedium,4,NA
2019-01-08T10:24:23Z,Assigned,Attribute,350126fb-2cb2-4e4c-8a3e-6cd3221dec56,1d3f11b4-7f6d-49a9-a955-3006727b9bef,1,NA
2019-01-08T10:24:30Z,Created,Attribute,20c842a0-c9b6-415d-b601-1c729eb5d724,NA,0,"(42.7%, 73.1%)"
2019-01-08T10:25:07Z,Assigned,Attribute,20c842a0-c9b6-415d-b601-1c729eb5d724,1d3f11b4-7f6d-49a9-a955-3006727b9bef,0,NA
2019-01-08T10:25:33Z,Named,Attribute,350126fb-2cb2-4e4c-8a3e-6cd3221dec56,Typ,4,NA
2019-01-08T10:25:49Z,Changed Data Type,Attribute,350126fb-2cb2-4e4c-8a3e-6cd3221dec56,String -> String,2,NA
2019-01-08T10:26:08Z,Named,Attribute,20c842a0-c9b6-415d-b601-1c729eb5d724,Titel,2,NA
2019-01-08T10:26:11Z,Changed Data Type,Attribute,20c842a0-c9b6-415d-b601-1c729eb5d724,String -> String,2,NA
2019-01-08T10:26:20Z,Created,Attribute,19c39a21-29c8-42a9-a85c-45c34b937fc2,NA,0,"(41.7%, 64.8%)"
2019-01-08T10:26:54Z,Named,Attribute,19c39a21-29c8-42a9-a85c-45c34b937fc2,Erscheinungsjahr,11,NA
2019-01-08T10:26:57Z,Changed Data Type,Attribute,19c39a21-29c8-42a9-a85c-45c34b937fc2,String -> Date,2,NA
2019-01-08T10:27:00Z,Moved,Attribute,19c39a21-29c8-42a9-a85c-45c34b937fc2,"-4.2%, +7.4%",2,"(37.5%, 72.2%)"
2019-01-08T10:27:28Z,Moved,Attribute,19c39a21-29c8-42a9-a85c-45c34b937fc2,"-0.5%, +0.9%",20,"(37%, 73.1%)"
2019-01-08T10:27:36Z,Assigned,Attribute,19c39a21-29c8-42a9-a85c-45c34b937fc2,1d3f11b4-7f6d-49a9-a955-3006727b9bef,7,NA
2019-01-08T10:28:03Z,Created,Attribute,b901fb52-55dd-4610-ac36-33000030150a,NA,0,"(42.2%, 62%)"
2019-01-08T10:28:32Z,Named,Attribute,b901fb52-55dd-4610-ac36-33000030150a,ISBN,3,NA
2019-01-08T10:28:45Z,Changed Data Type,Attribute,b901fb52-55dd-4610-ac36-33000030150a,String -> Integer,7,NA
2019-01-08T10:28:48Z,Assigned,Attribute,b901fb52-55dd-4610-ac36-33000030150a,1d3f11b4-7f6d-49a9-a955-3006727b9bef,2,NA
2019-01-08T10:29:36Z,Moved,Entity,1d3f11b4-7f6d-49a9-a955-3006727b9bef,"-0.5%, +0%",1,"(36.5%, 79.6%)"
2019-01-08T10:29:52Z,Created,Attribute,d5a31cde-a071-4789-ba73-9290493c8a74,NA,0,"(46.9%, 52.8%)"
2019-01-08T10:30:10Z,Named,Attribute,d5a31cde-a071-4789-ba73-9290493c8a74,Signatur,7,NA
2019-01-08T10:30:30Z,Moved,Attribute,d5a31cde-a071-4789-ba73-9290493c8a74,"-10.4%, +13.9%",5,"(36.5%, 66.7%)"
2019-01-08T10:31:16Z,Assigned,Attribute,d5a31cde-a071-4789-ba73-9290493c8a74,1d3f11b4-7f6d-49a9-a955-3006727b9bef,31,NA
2019-01-08T10:31:38Z,Created,Attribute,93388a30-c85b-4acb-ac2f-f51dfad99fa5,NA,0,"(42.2%, 54.6%)"
2019-01-08T10:32:05Z,Named,Attribute,93388a30-c85b-4acb-ac2f-f51dfad99fa5,Anschaffungsdatum:,10,NA
