Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-08T11:04:03Z,Created,Entity,c15fd332-9744-425d-9134-ea87d1904f06,NA,0,"(47.4%, 68.5%)"
2019-01-08T11:04:39Z,Named,Entity,c15fd332-9744-425d-9134-ea87d1904f06,Medium,16,NA
2019-01-08T11:04:41Z,Created,Attribute,366013c9-6272-49ad-a6cf-089149f43018,NA,0,"(42.2%, 54.6%)"
2019-01-08T11:05:01Z,Named,Attribute,366013c9-6272-49ad-a6cf-089149f43018,Titel:,11,NA
2019-01-08T11:05:13Z,Changed Data Type,Attribute,366013c9-6272-49ad-a6cf-089149f43018,String -> String,5,NA
2019-01-08T11:05:15Z,Assigned,Attribute,366013c9-6272-49ad-a6cf-089149f43018,c15fd332-9744-425d-9134-ea87d1904f06,1,NA
2019-01-08T11:05:19Z,Created,Attribute,788520c9-7ee0-472b-b662-792988038710,NA,0,"(29.7%, 56.5%)"
2019-01-08T11:05:36Z,Named,Attribute,788520c9-7ee0-472b-b662-792988038710,Erscheinungsjahr:,9,NA
2019-01-08T11:05:46Z,Changed Data Type,Attribute,788520c9-7ee0-472b-b662-792988038710,String -> Date,4,NA
2019-01-08T11:05:48Z,Assigned,Attribute,788520c9-7ee0-472b-b662-792988038710,c15fd332-9744-425d-9134-ea87d1904f06,1,NA
2019-01-08T11:05:56Z,Created,Attribute,9013d80c-6e17-4ecf-b18e-e88b665321ce,NA,0,"(37%, 45.4%)"
2019-01-08T11:06:06Z,Named,Attribute,9013d80c-6e17-4ecf-b18e-e88b665321ce,ISBN:,4,NA
2019-01-08T11:06:24Z,Changed Data Type,Attribute,9013d80c-6e17-4ecf-b18e-e88b665321ce,String -> String,10,NA
2019-01-08T11:06:28Z,Assigned,Attribute,9013d80c-6e17-4ecf-b18e-e88b665321ce,c15fd332-9744-425d-9134-ea87d1904f06,2,NA
2019-01-08T11:06:52Z,Created,Entity,4e7212c0-1b82-4466-8cc8-57faeb0fe52d,NA,0,"(26.6%, 70.4%)"
2019-01-08T11:07:11Z,Named,Entity,4e7212c0-1b82-4466-8cc8-57faeb0fe52d,Exemplar,14,NA
2019-01-08T11:07:13Z,Created,Attribute,7ee50756-c88f-44b3-b744-6bc5c08a199f,NA,0,"(28.1%, 47.2%)"
2019-01-08T11:07:32Z,Named,Attribute,7ee50756-c88f-44b3-b744-6bc5c08a199f,Signatur:,4,NA
2019-01-08T11:07:38Z,Changed Data Type,Attribute,7ee50756-c88f-44b3-b744-6bc5c08a199f,String -> String,5,NA
2019-01-08T11:07:39Z,Assigned,Attribute,7ee50756-c88f-44b3-b744-6bc5c08a199f,4e7212c0-1b82-4466-8cc8-57faeb0fe52d,0,NA
2019-01-08T11:07:43Z,Created,Attribute,132485b7-e889-4bea-8b78-3a026cefc4e7,NA,0,"(32.3%, 44.4%)"
2019-01-08T11:08:02Z,Named,Attribute,132485b7-e889-4bea-8b78-3a026cefc4e7,Anschaffungsdatum:,13,NA
