Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-08T09:40:34Z,Created,Entity,ac5b2c6e-6339-4134-8aa2-8799474392c9,NA,0,"(17.7%, 74.1%)"
2019-01-08T09:41:05Z,Named,Entity,ac5b2c6e-6339-4134-8aa2-8799474392c9,Leihmedien,17,NA
2019-01-08T09:41:07Z,Created,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,NA,0,"(26%, 60.2%)"
2019-01-08T09:41:22Z,Named,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,Titel:,3,NA
2019-01-08T09:41:27Z,Changed Data Type,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,String -> String,4,NA
2019-01-08T09:41:28Z,Assigned,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,ac5b2c6e-6339-4134-8aa2-8799474392c9,0,NA
2019-01-08T09:41:32Z,Created,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,NA,0,"(45.3%, 50.9%)"
2019-01-08T09:42:12Z,Named,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,Erscheiningsjahr:,9,NA
2019-01-08T09:42:25Z,Changed Data Type,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,String -> Integer,12,NA
2019-01-08T09:42:27Z,Assigned,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,ac5b2c6e-6339-4134-8aa2-8799474392c9,1,NA
2019-01-08T09:42:42Z,Created,Attribute,fe2240d4-e297-4a05-9757-ef15406eb119,NA,0,"(36.5%, 53.7%)"
2019-01-08T09:43:16Z,Named,Attribute,fe2240d4-e297-4a05-9757-ef15406eb119,Int. Standardbuchnummer (ISBN):,22,NA
2019-01-08T09:43:28Z,Changed Data Type,Attribute,fe2240d4-e297-4a05-9757-ef15406eb119,String -> Interger,4,NA
2019-01-08T09:43:32Z,Assigned,Attribute,fe2240d4-e297-4a05-9757-ef15406eb119,ac5b2c6e-6339-4134-8aa2-8799474392c9,1,NA
2019-01-08T09:43:49Z,Created,Entity,b76f26a4-2970-45b3-bee6-3d86bb583ac3,NA,0,"(49.5%, 71.3%)"
2019-01-08T09:44:12Z,Named,Entity,b76f26a4-2970-45b3-bee6-3d86bb583ac3,Exemplare,21,NA
