Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-07T17:35:15Z,Created,Entity,ecada4e0-771c-4d91-9b5c-9e4df075f982,NA,0,"(21.4%, 83.3%)"
2019-01-07T17:35:32Z,Named,Entity,ecada4e0-771c-4d91-9b5c-9e4df075f982,Medien,6,NA
2019-01-07T17:35:32Z,Created,Attribute,8aaa7dc1-508f-4009-8599-e1d8cdef905b,NA,0,"(24.5%, 66.7%)"
2019-01-07T17:35:40Z,Created,Attribute,d6483ed6-bb72-471e-a572-f285daea31f3,NA,0,"(40.6%, 63%)"
2019-01-07T17:35:42Z,Created,Attribute,a4a65073-72c8-47c8-9faf-7b8b2d8f98a8,NA,0,"(33.3%, 53.7%)"
2019-01-07T17:35:50Z,Named,Attribute,8aaa7dc1-508f-4009-8599-e1d8cdef905b,Titel:,3,NA
2019-01-07T17:35:56Z,Changed Data Type,Attribute,8aaa7dc1-508f-4009-8599-e1d8cdef905b,String -> String,5,NA
2019-01-07T17:36:12Z,Named,Attribute,d6483ed6-bb72-471e-a572-f285daea31f3,Erscheinungsjahr:,9,NA
2019-01-07T17:36:21Z,Changed Data Type,Attribute,d6483ed6-bb72-471e-a572-f285daea31f3,String -> Date,8,NA
2019-01-07T17:36:26Z,Named,Attribute,a4a65073-72c8-47c8-9faf-7b8b2d8f98a8,ISBN,5,NA
2019-01-07T17:36:35Z,Changed Data Type,Attribute,a4a65073-72c8-47c8-9faf-7b8b2d8f98a8,String -> Integer,4,NA
2019-01-07T17:36:37Z,Assigned,Attribute,8aaa7dc1-508f-4009-8599-e1d8cdef905b,ecada4e0-771c-4d91-9b5c-9e4df075f982,2,NA
2019-01-07T17:36:41Z,Moved,Attribute,d6483ed6-bb72-471e-a572-f285daea31f3,"-17.2%, +15.7%",1,"(23.4%, 78.7%)"
2019-01-07T17:36:44Z,Assigned,Attribute,d6483ed6-bb72-471e-a572-f285daea31f3,ecada4e0-771c-4d91-9b5c-9e4df075f982,2,NA
2019-01-07T17:36:47Z,Assigned,Attribute,a4a65073-72c8-47c8-9faf-7b8b2d8f98a8,ecada4e0-771c-4d91-9b5c-9e4df075f982,1,NA
2019-01-07T17:36:51Z,Created,Entity,9a8c7445-02f9-47f1-a1a8-966e5fe951e6,NA,0,"(46.9%, 75%)"
2019-01-07T17:37:12Z,Named,Entity,9a8c7445-02f9-47f1-a1a8-966e5fe951e6,Exemplar,16,NA
2019-01-07T17:37:13Z,Created,Attribute,b2fbdb18-3027-4d02-83f9-c4a0f1c279f7,NA,0,"(53.1%, 43.5%)"
2019-01-07T17:37:16Z,Created,Attribute,2b2afbfb-ef16-44b2-9dd9-379908b2d776,NA,0,"(52.6%, 52.8%)"
2019-01-07T17:37:19Z,Created,Attribute,9eff7daa-7991-4e38-9260-8a20c3a8dfef,NA,0,"(71.4%, 50.9%)"
2019-01-07T17:37:46Z,Named,Attribute,2b2afbfb-ef16-44b2-9dd9-379908b2d776,Signatur,22,NA
2019-01-07T17:37:52Z,Changed Data Type,Attribute,2b2afbfb-ef16-44b2-9dd9-379908b2d776,String -> Integer,5,NA
2019-01-07T17:38:02Z,Named,Attribute,b2fbdb18-3027-4d02-83f9-c4a0f1c279f7,Anschaffungsdatum,10,NA
2019-01-07T17:38:13Z,Changed Data Type,Attribute,b2fbdb18-3027-4d02-83f9-c4a0f1c279f7,String -> Date,6,NA
2019-01-07T17:38:19Z,Renamed,Attribute,b2fbdb18-3027-4d02-83f9-c4a0f1c279f7,Anschaffungsdatum -> Anschaffungsdatum:,5,NA
2019-01-07T17:38:25Z,Renamed,Attribute,2b2afbfb-ef16-44b2-9dd9-379908b2d776,Signatur -> Signatur:,6,NA
2019-01-07T17:38:32Z,Moved,Attribute,9eff7daa-7991-4e38-9260-8a20c3a8dfef,"-17.7%, -15.7%",6,"(53.6%, 35.2%)"
2019-01-07T17:38:42Z,Named,Attribute,9eff7daa-7991-4e38-9260-8a20c3a8dfef,Preis:,5,NA
2019-01-07T17:38:56Z,Changed Data Type,Attribute,9eff7daa-7991-4e38-9260-8a20c3a8dfef,String -> Decimal,6,NA
2019-01-07T17:38:58Z,Assigned,Attribute,2b2afbfb-ef16-44b2-9dd9-379908b2d776,9a8c7445-02f9-47f1-a1a8-966e5fe951e6,2,NA
2019-01-07T17:39:04Z,Assigned,Attribute,b2fbdb18-3027-4d02-83f9-c4a0f1c279f7,9a8c7445-02f9-47f1-a1a8-966e5fe951e6,4,NA
2019-01-07T17:39:08Z,Moved,Attribute,9eff7daa-7991-4e38-9260-8a20c3a8dfef,"-4.7%, +38%",2,"(49%, 73.1%)"
2019-01-07T17:39:10Z,Assigned,Attribute,9eff7daa-7991-4e38-9260-8a20c3a8dfef,9a8c7445-02f9-47f1-a1a8-966e5fe951e6,1,NA
2019-01-07T17:39:12Z,Moved,Entity,ecada4e0-771c-4d91-9b5c-9e4df075f982,"+0%, +0%",0,"(21.4%, 83.3%)"
2019-01-07T17:39:22Z,Renamed,Attribute,a4a65073-72c8-47c8-9faf-7b8b2d8f98a8,ISBN -> ISBN:,1,NA
2019-01-07T17:39:31Z,Created,Entity,90287e27-5ac6-4c48-9239-428959549eb6,NA,0,"(45.8%, 39.8%)"
2019-01-07T17:39:35Z,Created,Attribute,ae9715f6-2554-4375-b23c-b9c87008a75b,NA,0,"(41.7%, 32.4%)"
2019-01-07T17:39:37Z,Created,Attribute,779ecc71-e496-4df1-bbda-6ae12a5d6d10,NA,0,"(44.8%, 22.2%)"
2019-01-07T17:39:40Z,Created,Attribute,b835effb-aa57-4ba6-aebc-0f07ba9944f5,NA,0,"(60.4%, 26.9%)"
2019-01-07T17:39:50Z,Named,Entity,90287e27-5ac6-4c48-9239-428959549eb6,Nutzer,3,NA
2019-01-07T17:39:51Z,Moved,Entity,90287e27-5ac6-4c48-9239-428959549eb6,"+1.6%, +6.5%",0,"(47.4%, 46.3%)"
2019-01-07T17:40:02Z,Named,Attribute,ae9715f6-2554-4375-b23c-b9c87008a75b,Vorname:,2,NA
2019-01-07T17:40:09Z,Changed Data Type,Attribute,ae9715f6-2554-4375-b23c-b9c87008a75b,String -> String,4,NA
2019-01-07T17:40:16Z,Named,Attribute,b835effb-aa57-4ba6-aebc-0f07ba9944f5,Nachname:,3,NA
2019-01-07T17:40:21Z,Changed Data Type,Attribute,b835effb-aa57-4ba6-aebc-0f07ba9944f5,String -> String,4,NA
2019-01-07T17:40:29Z,Named,Attribute,779ecc71-e496-4df1-bbda-6ae12a5d6d10,Geburtsdatum:,5,NA
2019-01-07T17:40:33Z,Changed Data Type,Attribute,779ecc71-e496-4df1-bbda-6ae12a5d6d10,String -> Date,3,NA
2019-01-07T17:40:34Z,Assigned,Attribute,ae9715f6-2554-4375-b23c-b9c87008a75b,90287e27-5ac6-4c48-9239-428959549eb6,1,NA
2019-01-07T17:40:46Z,Moved,Entity,90287e27-5ac6-4c48-9239-428959549eb6,"-4.2%, +4.6%",1,"(43.2%, 50.9%)"
2019-01-07T17:40:49Z,Assigned,Attribute,b835effb-aa57-4ba6-aebc-0f07ba9944f5,90287e27-5ac6-4c48-9239-428959549eb6,2,NA
2019-01-07T17:40:52Z,Assigned,Attribute,779ecc71-e496-4df1-bbda-6ae12a5d6d10,90287e27-5ac6-4c48-9239-428959549eb6,2,NA
2019-01-07T17:41:04Z,Moved,Entity,ecada4e0-771c-4d91-9b5c-9e4df075f982,"-8.9%, -8.3%",3,"(12.5%, 75%)"
2019-01-07T17:41:08Z,Moved,Entity,9a8c7445-02f9-47f1-a1a8-966e5fe951e6,"-9.4%, +0%",3,"(37.5%, 75%)"
2019-01-07T17:41:15Z,Moved,Entity,90287e27-5ac6-4c48-9239-428959549eb6,"+21.4%, +24.1%",5,"(64.6%, 75%)"
2019-01-07T17:41:17Z,Moved,Entity,9a8c7445-02f9-47f1-a1a8-966e5fe951e6,"+1%, +0%",1,"(38.5%, 75%)"
2019-01-07T17:41:24Z,Moved,Entity,ecada4e0-771c-4d91-9b5c-9e4df075f982,"-1.6%, +0%",1,"(10.9%, 75%)"
2019-01-07T17:41:31Z,Created,Relationship,76d9ee27-a83a-43c2-a692-0e730cdc1fae,NA,0,"(30.7%, 68.5%)"
2019-01-07T17:41:58Z,Moved,Attribute,779ecc71-e496-4df1-bbda-6ae12a5d6d10,"+21.4%, +24.1%",6,"(64.8%, 66.7%)"
2019-01-07T17:41:59Z,Named,Relationship,76d9ee27-a83a-43c2-a692-0e730cdc1fae,existiert,1,NA
2019-01-07T17:42:05Z,Moved,Relationship,76d9ee27-a83a-43c2-a692-0e730cdc1fae,"-4.2%, +3.7%",5,"(26.6%, 72.2%)"
2019-01-07T17:42:12Z,Moved,Entity,ecada4e0-771c-4d91-9b5c-9e4df075f982,"-1.6%, +0%",1,"(9.4%, 75%)"
2019-01-07T17:42:13Z,Moved,Relationship,76d9ee27-a83a-43c2-a692-0e730cdc1fae,"-1%, +0.9%",0,"(25.5%, 73.1%)"
2019-01-07T17:42:15Z,Connected,Link,19266e27-01fa-4ddb-980b-45e7f82e6f3e,76d9ee27-a83a-43c2-a692-0e730cdc1fae -> 9a8c7445-02f9-47f1-a1a8-966e5fe951e6,0,NA
2019-01-07T17:42:20Z,Connected,Link,4984d6ba-67f8-4347-b5ca-cfcc2c0f5c1b,76d9ee27-a83a-43c2-a692-0e730cdc1fae -> ecada4e0-771c-4d91-9b5c-9e4df075f982,0,NA
2019-01-07T17:42:44Z,Created,Relationship,224ea224-a3ca-4315-bacc-053d6d87a0a4,NA,0,"(57.8%, 68.5%)"
2019-01-07T17:42:47Z,Moved,Entity,90287e27-5ac6-4c48-9239-428959549eb6,"+5.2%, +0%",2,"(69.8%, 75%)"
2019-01-07T17:42:48Z,Moved,Relationship,224ea224-a3ca-4315-bacc-053d6d87a0a4,"-2.1%, +4.6%",1,"(55.7%, 73.1%)"
2019-01-07T17:42:57Z,Moved,Attribute,779ecc71-e496-4df1-bbda-6ae12a5d6d10,"+5.2%, +0%",4,"(70.1%, 66.7%)"
2019-01-07T17:42:58Z,Named,Relationship,224ea224-a3ca-4315-bacc-053d6d87a0a4,leiht aus,1,NA
2019-01-07T17:43:41Z,Moved,Relationship,224ea224-a3ca-4315-bacc-053d6d87a0a4,"+14.6%, -22.2%",1,"(70.3%, 50.9%)"
2019-01-07T17:43:44Z,Created,Entity,298f14e0-30a5-42c2-89da-19fc28a8461a,NA,0,"(44.3%, 46.3%)"
2019-01-07T17:43:54Z,Named,Entity,298f14e0-30a5-42c2-89da-19fc28a8461a,Ausleihe,3,NA
2019-01-07T17:43:57Z,Created,Attribute,f39008c9-62a7-445f-9436-2d22fc6d4471,NA,0,"(47.4%, 24.1%)"
2019-01-07T17:44:00Z,Created,Attribute,2591565c-e359-4785-bda8-3b4d7b258696,NA,0,"(63.5%, 22.2%)"
2019-01-07T17:44:09Z,Named,Attribute,f39008c9-62a7-445f-9436-2d22fc6d4471,Ausleihdatum:,8,NA
2019-01-07T17:44:13Z,Changed Data Type,Attribute,f39008c9-62a7-445f-9436-2d22fc6d4471,String -> Date,3,NA
2019-01-07T17:44:13Z,Moved,Attribute,2591565c-e359-4785-bda8-3b4d7b258696,"+0.5%, +0%",0,"(64.1%, 22.2%)"
2019-01-07T17:44:28Z,Named,Attribute,2591565c-e359-4785-bda8-3b4d7b258696,Fälligkeitsdatum,14,NA
2019-01-07T17:44:33Z,Changed Data Type,Attribute,2591565c-e359-4785-bda8-3b4d7b258696,String -> Date,3,NA
2019-01-07T17:44:36Z,Renamed,Attribute,2591565c-e359-4785-bda8-3b4d7b258696,Fälligkeitsdatum -> Fälligkeitsdatum:,2,NA
2019-01-07T17:44:39Z,Assigned,Attribute,2591565c-e359-4785-bda8-3b4d7b258696,298f14e0-30a5-42c2-89da-19fc28a8461a,2,NA
2019-01-07T17:44:42Z,Assigned,Attribute,f39008c9-62a7-445f-9436-2d22fc6d4471,298f14e0-30a5-42c2-89da-19fc28a8461a,2,NA
2019-01-07T17:44:46Z,Moved,Entity,90287e27-5ac6-4c48-9239-428959549eb6,"-16.1%, -47.2%",0,"(53.6%, 27.8%)"
2019-01-07T17:44:51Z,Moved,Entity,298f14e0-30a5-42c2-89da-19fc28a8461a,"+22.4%, +28.7%",4,"(66.7%, 75%)"
2019-01-07T17:44:56Z,Moved,Relationship,224ea224-a3ca-4315-bacc-053d6d87a0a4,"-24%, -4.6%",4,"(46.4%, 46.3%)"
2019-01-07T17:45:07Z,Moved,Entity,90287e27-5ac6-4c48-9239-428959549eb6,"+13%, +6.5%",2,"(66.7%, 34.3%)"
2019-01-07T17:45:16Z,Moved,Entity,90287e27-5ac6-4c48-9239-428959549eb6,"+0%, +4.6%",1,"(66.7%, 38.9%)"
2019-01-07T17:45:22Z,Moved,Relationship,224ea224-a3ca-4315-bacc-053d6d87a0a4,"+21.4%, +9.3%",5,"(67.7%, 55.6%)"
2019-01-07T17:45:44Z,Renamed,Relationship,224ea224-a3ca-4315-bacc-053d6d87a0a4,leiht aus -> macht,7,NA
2019-01-07T17:45:45Z,Connected,Link,743fa958-8079-4c79-a21e-0a8b43a27d88,224ea224-a3ca-4315-bacc-053d6d87a0a4 -> 298f14e0-30a5-42c2-89da-19fc28a8461a,0,NA
2019-01-07T17:45:51Z,Connected,Link,7902b340-fa55-4e92-bd06-e1a6b95d1b52,224ea224-a3ca-4315-bacc-053d6d87a0a4 -> 90287e27-5ac6-4c48-9239-428959549eb6,0,NA
2019-01-07T17:45:55Z,Created,Relationship,b7148b7f-804a-4b57-a272-993545dca546,NA,0,"(58.3%, 68.5%)"
2019-01-07T17:45:57Z,Moved,Relationship,b7148b7f-804a-4b57-a272-993545dca546,"-4.2%, +4.6%",1,"(54.2%, 73.1%)"
2019-01-07T17:46:17Z,Named,Relationship,b7148b7f-804a-4b57-a272-993545dca546,beinhaltet,0,NA
