Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-08T11:04:03Z,Created,Entity,c15fd332-9744-425d-9134-ea87d1904f06,,0.0,"(47.4%, 68.5%)"
2019-01-08T11:04:28Z,Named,Entity,c15fd332-9744-425d-9134-ea87d1904f06,<Name of entity type> -> Medi,5.0,
2019-01-08T11:04:41Z,Created,Attribute,366013c9-6272-49ad-a6cf-089149f43018,,0.0,"(42.2%, 54.6%)"
2019-01-08T11:04:44Z,Named,Attribute,366013c9-6272-49ad-a6cf-089149f43018,<Name>  -> <Name>,0.0,
2019-01-08T11:04:55Z,Named,Attribute,366013c9-6272-49ad-a6cf-089149f43018,<Name> -> Titel:,5.0,
2019-01-08T11:05:15Z,Moved,Attribute,366013c9-6272-49ad-a6cf-089149f43018,"delta: (3.4%, -9.3%)",2.0,"(47.7%, 64.8%)"
2019-01-08T11:05:15Z,Renamed,Entity,c15fd332-9744-425d-9134-ea87d1904f06,Medi -> Medium,0.0,
2019-01-08T11:05:15Z,Assigned,Entity,c15fd332-9744-425d-9134-ea87d1904f06,"node: c15fd332-9744-425d-9134-ea87d1904f06, attr: 366013c9-6272-49ad-a6cf-089149f43018",0.0,
2019-01-08T11:05:19Z,Created,Attribute,788520c9-7ee0-472b-b662-792988038710,,0.0,"(29.7%, 56.5%)"
2019-01-08T11:05:22Z,Named,Attribute,788520c9-7ee0-472b-b662-792988038710,<Name>  -> <Name>,0.0,
2019-01-08T11:05:35Z,Named,Attribute,788520c9-7ee0-472b-b662-792988038710,<Name> -> Erscheinungsjahr:,8.0,
2019-01-08T11:05:47Z,Moved,Attribute,788520c9-7ee0-472b-b662-792988038710,"delta: (7.3%, -3.7%)",1.0,"(46.4%, 61.1%)"
2019-01-08T11:05:48Z,Assigned,Entity,c15fd332-9744-425d-9134-ea87d1904f06,"node: c15fd332-9744-425d-9134-ea87d1904f06, attr: 788520c9-7ee0-472b-b662-792988038710",0.0,
2019-01-08T11:05:48Z,Moved,Attribute,788520c9-7ee0-472b-b662-792988038710,"delta: (-0.3%, -5.1%)",0.0,"(47.4%, 67.6%)"
2019-01-08T11:05:56Z,Created,Attribute,9013d80c-6e17-4ecf-b18e-e88b665321ce,,0.0,"(37.0%, 45.4%)"
2019-01-08T11:06:05Z,Named,Attribute,9013d80c-6e17-4ecf-b18e-e88b665321ce,<Name>  -> ISBN:,6.0,
2019-01-08T11:06:28Z,Moved,Attribute,9013d80c-6e17-4ecf-b18e-e88b665321ce,"delta: (3.9%, -8.3%)",2.0,"(47.7%, 60.2%)"
2019-01-08T11:06:28Z,Assigned,Entity,c15fd332-9744-425d-9134-ea87d1904f06,"node: c15fd332-9744-425d-9134-ea87d1904f06, attr: 9013d80c-6e17-4ecf-b18e-e88b665321ce",0.0,
2019-01-08T11:06:52Z,Created,Entity,4e7212c0-1b82-4466-8cc8-57faeb0fe52d,,0.0,"(26.6%, 70.4%)"
2019-01-08T11:06:58Z,Named,Entity,4e7212c0-1b82-4466-8cc8-57faeb0fe52d,<Name of entity type> -> Exemplar,1.0,
2019-01-08T11:07:13Z,Created,Attribute,7ee50756-c88f-44b3-b744-6bc5c08a199f,,0.0,"(28.1%, 47.2%)"
2019-01-08T11:07:18Z,Named,Attribute,7ee50756-c88f-44b3-b744-6bc5c08a199f,<Name>  -> Signatur,4.0,
2019-01-08T11:07:28Z,Renamed,Attribute,7ee50756-c88f-44b3-b744-6bc5c08a199f,Signatur -> Signatur:,0.0,
2019-01-08T11:07:39Z,Moved,Attribute,7ee50756-c88f-44b3-b744-6bc5c08a199f,"delta: (1.6%, -1.9%)",1.0,"(26.6%, 69.4%)"
2019-01-08T11:07:39Z,Assigned,Entity,4e7212c0-1b82-4466-8cc8-57faeb0fe52d,"node: 4e7212c0-1b82-4466-8cc8-57faeb0fe52d, attr: 7ee50756-c88f-44b3-b744-6bc5c08a199f",0.0,
2019-01-08T11:07:43Z,Created,Attribute,132485b7-e889-4bea-8b78-3a026cefc4e7,,0.0,"(32.3%, 44.4%)"
2019-01-08T11:07:54Z,Named,Attribute,132485b7-e889-4bea-8b78-3a026cefc4e7,<Name>  -> Anschaffungsdatum,9.0,
2019-01-08T11:08:01Z,Renamed,Attribute,132485b7-e889-4bea-8b78-3a026cefc4e7,Anschaffungsdatum -> Anschaffungsdatum:,0.0,
2019-01-08T11:08:11Z,Moved,Attribute,132485b7-e889-4bea-8b78-3a026cefc4e7,"delta: (-3.6%, -19.4%)",3.0,"(26.6%, 69.4%)"
2019-01-08T11:08:11Z,Assigned,Entity,4e7212c0-1b82-4466-8cc8-57faeb0fe52d,"node: 4e7212c0-1b82-4466-8cc8-57faeb0fe52d, attr: 132485b7-e889-4bea-8b78-3a026cefc4e7",0.0,
2019-01-08T11:08:24Z,Created,Attribute,5bca6469-f6f8-41bd-ac41-92e87ada5220,,0.0,"(35.9%, 44.4%)"
2019-01-08T11:08:25Z,Named,Attribute,5bca6469-f6f8-41bd-ac41-92e87ada5220,<Name>  -> <Name>,0.0,
2019-01-08T11:08:33Z,Named,Attribute,5bca6469-f6f8-41bd-ac41-92e87ada5220,<Name> -> Preis,1.0,
2019-01-08T11:08:45Z,Moved,Attribute,5bca6469-f6f8-41bd-ac41-92e87ada5220,"delta: (0.8%, 7.4%)",1.0,"(26.8%, 62.0%)"
2019-01-08T11:08:45Z,Assigned,Entity,4e7212c0-1b82-4466-8cc8-57faeb0fe52d,"node: 4e7212c0-1b82-4466-8cc8-57faeb0fe52d, attr: 5bca6469-f6f8-41bd-ac41-92e87ada5220",0.0,
2019-01-08T11:08:57Z,Created,Entity,0b658134-86b7-46a7-829a-f47c4ff89829,,0.0,"(34.4%, 33.3%)"
