Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-08T10:16:58Z,Created,Entity,1d3f11b4-7f6d-49a9-a955-3006727b9bef,,0.0,"(17.7%, 79.6%)"
2019-01-08T10:17:25Z,Named,Entity,1d3f11b4-7f6d-49a9-a955-3006727b9bef,<Name of entity type> -> Buch,1.0,
2019-01-08T10:17:33Z,Created,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,,0.0,"(53.1%, 74.1%)"
2019-01-08T10:17:35Z,Moved,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,"delta: (-1.0%, -2.8%)",1.0,"(52.1%, 79.6%)"
2019-01-08T10:18:03Z,Named,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,<Name of entity type> -> Nut,1.0,
2019-01-08T10:18:12Z,Created,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,,0.0,"(41.7%, 74.1%)"
2019-01-08T10:18:28Z,Renamed,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,Nut -> Nutzer,0.0,
2019-01-08T10:18:29Z,Moved,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,"delta: (-14.1%, -2.8%)",1.0,"(27.6%, 89.8%)"
2019-01-08T10:18:33Z,Moved,Entity,1d3f11b4-7f6d-49a9-a955-3006727b9bef,"delta: (6.8%, -4.6%)",2.0,"(50.0%, 85.2%)"
2019-01-08T10:18:35Z,Moved,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,"delta: (0.0%, 2.8%)",1.0,"(13.0%, 83.3%)"
2019-01-08T10:18:55Z,Moved,Entity,bda46af4-1a58-4de4-9eac-f9ed1decb9b5,"delta: (6.8%, 0.9%)",5.0,"(61.5%, 74.1%)"
2019-01-08T10:18:57Z,Moved,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,"delta: (-11.5%, -12.0%)",0.0,"(41.7%, 74.1%)"
2019-01-08T10:19:00Z,Moved,Entity,1d3f11b4-7f6d-49a9-a955-3006727b9bef,"delta: (-14.1%, 5.6%)",2.0,"(35.4%, 79.6%)"
2019-01-08T10:19:04Z,Moved,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,"delta: (-1.0%, -1.9%)",1.0,"(55.7%, 79.6%)"
2019-01-08T10:19:46Z,Named,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,<Name> -> ausgeliehen von,4.0,
2019-01-08T10:20:05Z,Created,Attribute,2387f752-9f2d-4ce7-8d8c-dc8133330399,,0.0,"(51.6%, 74.1%)"
2019-01-08T10:20:18Z,Named,Attribute,2387f752-9f2d-4ce7-8d8c-dc8133330399,<Name>  -> <Name>,0.0,
2019-01-08T10:20:22Z,Moved,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,"delta: (1.6%, -0.9%)",1.0,"(55.2%, 74.1%)"
2019-01-08T10:20:55Z,Deleted,Attribute,2387f752-9f2d-4ce7-8d8c-dc8133330399,cascade: 2387f752-9f2d-4ce7-8d8c-dc8133330399,0.0,
2019-01-08T10:21:02Z,Moved,Relationship,a111479f-54d1-40c1-8ce0-d6c275d1e3ba,"delta: (0.0%, -1.9%)",1.0,"(56.2%, 79.6%)"
2019-01-08T10:21:14Z,Re-connected,Link,54c58905-0bf8-4872-9050-5f4a0b088e2d,a111479f-54d1-40c1-8ce0-d6c275d1e3ba -> None,0.0,
2019-01-08T10:21:14Z,Connected,Link,54c58905-0bf8-4872-9050-5f4a0b088e2d,a111479f-54d1-40c1-8ce0-d6c275d1e3ba -> None,0.0,
2019-01-08T10:21:21Z,Re-connected,Link,54c58905-0bf8-4872-9050-5f4a0b088e2d,a111479f-54d1-40c1-8ce0-d6c275d1e3ba -> 1d3f11b4-7f6d-49a9-a955-3006727b9bef,2.0,
2019-01-08T10:21:32Z,Re-connected,Link,75e89831-93fc-4d55-9f5b-a2f18b133d87,a111479f-54d1-40c1-8ce0-d6c275d1e3ba -> None,0.0,
2019-01-08T10:21:32Z,Connected,Link,75e89831-93fc-4d55-9f5b-a2f18b133d87,a111479f-54d1-40c1-8ce0-d6c275d1e3ba -> None,0.0,
2019-01-08T10:21:37Z,Re-connected,Link,75e89831-93fc-4d55-9f5b-a2f18b133d87,a111479f-54d1-40c1-8ce0-d6c275d1e3ba -> bda46af4-1a58-4de4-9eac-f9ed1decb9b5,0.0,
2019-01-08T10:22:02Z,Defined Cardinality / Changed Cardinality,Link,54c58905-0bf8-4872-9050-5f4a0b088e2d,"None -> 1,",0.0,
2019-01-08T10:22:07Z,Defined Cardinality / Changed Cardinality,Link,54c58905-0bf8-4872-9050-5f4a0b088e2d,"1, -> 1,1",0.0,
2019-01-08T10:22:16Z,Defined Cardinality / Changed Cardinality,Link,75e89831-93fc-4d55-9f5b-a2f18b133d87,"None -> 1,",0.0,
2019-01-08T10:22:45Z,Defined Cardinality / Changed Cardinality,Link,75e89831-93fc-4d55-9f5b-a2f18b133d87,"1, -> 1,*",0.0,
2019-01-08T10:22:57Z,Defined Cardinality / Changed Cardinality,Link,75e89831-93fc-4d55-9f5b-a2f18b133d87,"1,* -> *,1",3.0,
2019-01-08T10:23:43Z,Created,Attribute,350126fb-2cb2-4e4c-8a3e-6cd3221dec56,,0.0,"(41.7%, 73.1%)"
