Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-07T17:35:15Z,Created,Entity,ecada4e0-771c-4d91-9b5c-9e4df075f982,,0.0,"(21.4%, 83.3%)"
2019-01-07T17:35:27Z,Named,Entity,ecada4e0-771c-4d91-9b5c-9e4df075f982,<Name of entity type> -> Med,1.0,
2019-01-07T17:35:32Z,Created,Attribute,8aaa7dc1-508f-4009-8599-e1d8cdef905b,,0.0,"(24.5%, 66.7%)"
2019-01-07T17:35:37Z,Named,Attribute,8aaa7dc1-508f-4009-8599-e1d8cdef905b,<Name>  -> <Name>,0.0,
2019-01-07T17:35:40Z,Created,Attribute,d6483ed6-bb72-471e-a572-f285daea31f3,,0.0,"(40.6%, 63.0%)"
2019-01-07T17:35:41Z,Named,Attribute,d6483ed6-bb72-471e-a572-f285daea31f3,<Name>  -> <Name>,0.0,
2019-01-07T17:35:42Z,Created,Attribute,a4a65073-72c8-47c8-9faf-7b8b2d8f98a8,,0.0,"(33.3%, 53.7%)"
2019-01-07T17:35:45Z,Named,Attribute,a4a65073-72c8-47c8-9faf-7b8b2d8f98a8,<Name>  -> <Name>,0.0,
2019-01-07T17:35:49Z,Named,Attribute,8aaa7dc1-508f-4009-8599-e1d8cdef905b,<Name> -> Titel:,2.0,
2019-01-07T17:36:11Z,Named,Attribute,d6483ed6-bb72-471e-a572-f285daea31f3,<Name> -> Erscheinungsjahr:,8.0,
2019-01-07T17:36:25Z,Named,Attribute,a4a65073-72c8-47c8-9faf-7b8b2d8f98a8,<Name> -> IS,0.0,
2019-01-07T17:36:31Z,Renamed,Attribute,a4a65073-72c8-47c8-9faf-7b8b2d8f98a8,IS -> ISBN,0.0,
2019-01-07T17:36:36Z,Moved,Attribute,8aaa7dc1-508f-4009-8599-e1d8cdef905b,"delta: (-0.5%, -4.6%)",1.0,"(21.4%, 79.6%)"
2019-01-07T17:36:37Z,Renamed,Entity,ecada4e0-771c-4d91-9b5c-9e4df075f982,Med -> Medien,0.0,
2019-01-07T17:36:37Z,Assigned,Entity,ecada4e0-771c-4d91-9b5c-9e4df075f982,"node: ecada4e0-771c-4d91-9b5c-9e4df075f982, attr: 8aaa7dc1-508f-4009-8599-e1d8cdef905b",0.0,
2019-01-07T17:36:37Z,Moved,Attribute,8aaa7dc1-508f-4009-8599-e1d8cdef905b,"delta: (-0.3%, 0.0%)",0.0,"(21.4%, 79.6%)"
2019-01-07T17:36:43Z,Moved,Attribute,d6483ed6-bb72-471e-a572-f285daea31f3,"delta: (-3.6%, -4.6%)",3.0,"(21.9%, 80.6%)"
2019-01-07T17:36:44Z,Assigned,Entity,ecada4e0-771c-4d91-9b5c-9e4df075f982,"node: ecada4e0-771c-4d91-9b5c-9e4df075f982, attr: d6483ed6-bb72-471e-a572-f285daea31f3",0.0,
