Interaction,P01,P02,P03,P04,P05,P06,P07,P08,Total
Assigned,14,11,9,11,11,9,14,11,90
Changed Cardinality,5,6,11,6,6,9,8,6,57
Connected,6,8,7,5,6,4,6,6,48
Created,20,18,16,18,18,14,25,18,147
Deleted,4,0,2,1,0,0,6,0,13
Disconnected,2,2,3,1,0,0,0,0,8
Moved,91,101,89,106,108,46,123,37,701
Named,34,31,27,27,22,21,27,18,207
Re-connected,10,17,15,11,11,9,13,13,99
Renamed,5,8,6,6,8,5,14,0,52
Unassigned,1,0,0,0,0,0,2,0,3
Total,192,202,185,192,190,117,238,109,1425
