Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-08T09:40:34Z,Created,Entity,ac5b2c6e-6339-4134-8aa2-8799474392c9,,0.0,"(17.71%, 74.07%)"
2019-01-08T09:41:00Z,Named,Entity,ac5b2c6e-6339-4134-8aa2-8799474392c9, -> Leihmedien:,7.0,
2019-01-08T09:41:07Z,Created,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,,0.0,"(26.04%, 60.19%)"
2019-01-08T09:41:09Z,Named,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7, -> <Name>,0.0,
2019-01-08T09:41:20Z,Named,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,<Name> -> Titel:,1.0,
2019-01-08T09:41:27Z,Changed Data Type,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,None -> String,4.0,
2019-01-08T09:41:28Z,Moved,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,Delta: 12.68%,1.0,"(25.52%, 60.19%)"
2019-01-08T09:41:28Z,Assigned,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,None -> ac5b2c6e-6339-4134-8aa2-8799474392c9,0.0,
2019-01-08T09:41:28Z,Moved,Entity,ac5b2c6e-6339-4134-8aa2-8799474392c9,Delta: 0.00%,0.0,"(17.71%, 74.07%)"
2019-01-08T09:41:28Z,Moved,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,Delta: 0.00%,0.0,"(20.31%, 69.44%)"
2019-01-08T09:41:28Z,Unassigned,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,ac5b2c6e-6339-4134-8aa2-8799474392c9 -> None,0.0,
2019-01-08T09:41:28Z,Moved,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,Delta: 2.12%,0.0,"(20.31%, 68.52%)"
2019-01-08T09:41:28Z,Renamed,Entity,ac5b2c6e-6339-4134-8aa2-8799474392c9,Leihmedien: -> Leihmedien,0.0,
2019-01-08T09:41:32Z,Created,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,,0.0,"(45.31%, 50.93%)"
2019-01-08T09:41:44Z,Named,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a, -> <Name>,0.0,
2019-01-08T09:42:10Z,Named,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,<Name> -> Erscheiningsjahr:,7.0,
2019-01-08T09:42:21Z,Changed Data Type,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,None -> Integer,8.0,
2019-01-08T09:42:27Z,Moved,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,Delta: 0.00%,0.0,"(17.97%, 70.37%)"
2019-01-08T09:42:27Z,Moved,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,Delta: 2.95%,2.0,"(19.79%, 65.74%)"
2019-01-08T09:42:27Z,Assigned,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,None -> ac5b2c6e-6339-4134-8aa2-8799474392c9,0.0,
2019-01-08T09:42:27Z,Moved,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,Delta: 0.00%,0.0,"(19.27%, 67.59%)"
2019-01-08T09:42:27Z,Unassigned,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,ac5b2c6e-6339-4134-8aa2-8799474392c9 -> None,0.0,
2019-01-08T09:42:27Z,Moved,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,Delta: 1.06%,0.0,"(19.79%, 68.52%)"
2019-01-08T09:42:27Z,Assigned,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,None -> ac5b2c6e-6339-4134-8aa2-8799474392c9,0.0,
2019-01-08T09:42:27Z,Assigned,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,None -> ac5b2c6e-6339-4134-8aa2-8799474392c9,0.0,
2019-01-08T09:42:42Z,Created,Attribute,fe2240d4-e297-4a05-9757-ef15406eb119,,0.0,"(36.46%, 53.70%)"
